Site,lat,lon
BC1,-30.3854666666667,151.310166666667
BC2,-30.47996,151.42666
BN1,-30.1500857142857,151.073985714286
BN2,-30.1510875,151.0818375
BN3,-30.1433875,151.08165
BN4,-30.1435714285714,151.075214285714
BN5,-30.13885,151.07985
BN6,-30.1432636363636,151.076390909091
BS1,-30.18215,151.05405
BS10,-30.2214,151.077766666667
BS2,-30.18545,151.06005
BS3,-30.18738,151.0698
BS4,-30.1895666666667,151.074533333333
BS5,-30.1969333333333,151.071283333333
BS6,-30.20044,151.07174
BS7,-30.20952,151.07506
BS8,-30.2174333333333,151.07255
BS9,-30.2202666666667,151.074266666667
G1,-29.8704583333333,151.121766666667
G2,-29.8631583333333,151.116
G3,-29.8597727272727,151.121718181818
G4,-29.8614555555556,151.118911111111
GP1,-30.4377363636364,151.244327272727
GP2,-30.4356142857143,151.232814285714
GP3,-30.4368,151.223455555556
GP4,-30.43283,151.21436
IG1,-30.4128571428571,151.391857142857
IG2,-30.4993833333333,151.5159
RC1,-30.4294043478261,151.181465217391
RC2,-30.4276368421053,151.176526315789
RC3,-30.4266125,151.16369375
RC4,-30.4239833333333,151.156733333333
RC5,-30.4221153846154,151.152023076923
RC6,-30.4168,151.13810625
SR1,-29.677825,151.5329125
SR10,-29.5061125,151.453375
SR2,-29.9309444444444,151.585933333333
SR3,-29.6180666666667,151.438988888889
SR4,-29.518375,151.46725
SR5,-29.47258,151.48324
SR6,-29.47868,151.48404
SR7,-29.4772,151.481742857143
SR8,-29.4734571428571,151.4802
SR9,-29.5034833333333,151.453233333333
Y1,-30.49988,151.37144
Y2,-30.49804,151.37194
Y3,-30.49454,151.36618
Y4,-30.49215,151.369233333333
Y5,-30.480975,151.364683333333
Y6,-30.47315,151.363333333333
